title,city,salary,skills
C++/Python Developer (Robotics),Львів,Не вказана,"['Linux OS user', 'Python', 'C++', 'Communicability', 'Responsibility', 'Teamwork']"
"Python developer (Trainee, Junior)",Львів,Не вказана,"['MySQL', 'Git', 'Python', 'PostgreSQL', 'Django', 'Django Rest Framework', 'Програмування', 'Знання принципів ООП']"
Python Developer,Київ,Не вказана,"['Java', 'PHP', 'MySQL', 'Git', 'GitHub', 'GitLab', 'JavaScript', 'Python', 'C++', 'PostgreSQL', 'React', 'Відповідальність', 'MongoDB', 'Docker', 'Програмування', 'Знання принципів ООП', 'AWS', 'C#']"
"Lead Data Engineer, Python Developer",Київ,Не вказана,"['Python', 'PostgreSQL', 'MongoDB', 'MS SQL Server', 'pandas', 'NumPy', 'Backend-розробка', 'Pydantic']"
Python developer,Київ,Не вказана,"['MySQL', 'SQL', 'Git', 'GitHub', 'GitLab', 'Python', 'PostgreSQL', 'XML', 'JSON', 'Знання принципів ООП', 'MongoDB', 'Docker', 'Django', 'REST API', 'REST', 'Програмування', 'Flask', 'asyncio', 'FastAPI', 'Machine learning']"
Python-программист,Київ,60000 - 70000,"['Пользователь ОС Linux', 'HTML', 'SQL', 'Git', 'JavaScript', 'Python', 'PostgreSQL', 'Django', 'HTTP', 'Программирование', 'Flask', 'SQLAlchemy', 'Aiohttp', 'CI/CD']"
Junior Python Developer in Test (Apps),Київ,Не вказана,"['Користувач ОС Linux', 'Git', 'Python', 'Знання принципів ООП', 'Selenium', 'Jenkins']"
"Python, PHP Developer",Київ,Не вказана,"['CSS', 'JavaScript', 'HTML', 'PHP', 'MySQL', 'Python', 'PostgreSQL', 'Знання принципів ООП', 'Laravel', 'Yii', 'Програмування', 'Zend Framework', 'SOLID Principles']"
"Викладач програмування для дітей (Java, JavaScript, Python)",Харків,Не вказана,"['JavaScript', 'Java', 'Python', 'Програмування']"
Junior Full Stack (Python JS),Харків,30000 - 35000,"['JScript', 'JavaScript', 'React', 'Python', 'REST API', 'GraphQL']"
Python Developer,Харків,25000 - 35000,"['SQL', 'Git', 'Python', 'Комунікабельність', 'Знання принципів ООП', 'Docker', 'Стресостійкість', 'Selenium', 'Redis', 'Ініціативність', 'Саморозвиток', 'Multiprocessing', 'Python Requests', 'Playwright', 'Solidity', 'Аналіз даних', 'Орієнтація на результат', 'Solana']"
"Junior, Strong Junior Python Developer",Рівне,15000 - 35000,"['SQL', 'Git', 'GitHub', 'Python', 'Docker', 'Selenium', 'Програмування', 'NoSQL', 'Celery', 'Scrapy', 'Beautiful Soup', 'FastAPI', 'Playwright']"
"Викладач Blender 3D, C++, JS, Python, Photoshop (программирование для детей)",Київ,Не вказана,[]
"Викладач у дитячу школу програмування (Python, скретч та вебсайти)",Долина,10000 - 15000,"['Python', 'Програмування', 'Креативність', 'Scratch', 'Веб-розробка']"
"Викладач JS, Python, 3D-Blender (програмування для дітей)",Київ,10000 - 16000,[]
"Machine Learning, Python Developer",Львів,Не вказана,"['Python', 'Responsibility', 'Machine learning', 'Deep Learning']"
"Викладач у дитячу IT-школу програмування (Scratch, геймдизайн, Python, Frontend)",Васильків,3000 - 7000,"['CSS', 'JavaScript', 'HTML', 'Python', 'Комунікабельність', 'Програмування', 'Креативність', 'Scratch', 'Викладання інформатики', 'Робота з дітьми']"
Intern Python developer,Васильків,Не вказана,"['Git', 'Python', 'Комунікабельність', 'Програмування', 'Знання принципів ООП', 'PyQt', 'Tkinter']"
Python Backend Developer,Дніпро,Не вказана,"['Користувач ОС Linux', 'SQL', 'Git', 'Python', 'Docker', 'NoSQL', 'Backend-розробка', 'Робота в команді']"
Full-stack програміст на Python (Strong Junior),Дніпро,Не вказана,"['JavaScript', 'SQL', 'Python', 'Комунікабельність', 'Відповідальність', 'jQuery', 'Django', 'Django Rest Framework', 'Робота в команді', 'MS SQL Server', 'Frontend-розробка']"
Python Developer,Дніпро,Не вказана,"['Python', 'pandas', 'NumPy', 'PyTorch', 'OpenAI']"
Викладач програмування у дитячу школу (Python),Кам'янець-Подільський,4800 - 10000,"['Python', 'Програмування', 'Креативність', 'Scratch']"
Office manager assistant (Polish),Кам'янець-Подільський,15000 - 20000,[]
Python (Odoo) developer,Кам'янець-Подільський,Не вказана,"['JavaScript', 'SQL', 'Користувач 1С', 'Python', 'Програмування', 'Backend-розробка', 'Odoo', 'Frontend-розробка']"
Junior Python-розробник,Київ,20000 - 25000,"['MS PowerPoint', 'MS Excel', 'Python', 'Комунікабельність', 'Робота в команді']"
